Node,Type,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Louvain_Community,Leiden_Community
conductive hearing loss,Disease,10,0.009124087591240875,0.0020333129190786307,0.277749619868221,2,2
fluid in ear,Symptom,10,0.009124087591240875,0.00042352891798864154,0.2401402278702892,2,2
low self-esteem,Symptom,7,0.006386861313868613,0.0002752274140334048,0.23769247451745826,0,3
abdominal hernia,Disease,10,0.009124087591240875,0.0033558788033136075,0.2781725888324873,3,5
swollen abdomen,Symptom,3,0.002737226277372263,5.438636762691559e-05,0.24082619204570424,5,5
irregular belly button,Symptom,3,0.002737226277372263,0.00018639935393363686,0.22422258592471359,3,5
cerebral palsy,Disease,6,0.005474452554744526,0.0019686143129226765,0.2630820931349016,0,3
infant feeding problem,Symptom,3,0.002737226277372263,0.00013615344019623287,0.2257001647446458,0,5
blindness,Symptom,12,0.010948905109489052,0.0015255012688154949,0.2630820931349016,6,7
marijuana abuse,Disease,12,0.010948905109489052,0.0012854454042544787,0.2750313676286073,0,3
fears and phobias,Symptom,11,0.010036496350364963,0.0004159604685966217,0.24497094322753687,0,3
cryptococcosis,Disease,2,0.0018248175182481751,0.00047924169799550096,0.25183823529411764,6,7
obesity,Disease,3,0.002737226277372263,0.000413388661506039,0.24231704620826885,0,3
excessive appetite,Symptom,3,0.002737226277372263,0.00010311566416359553,0.2152395915161037,0,3
indigestion,Disease,9,0.008211678832116789,0.0007775334387321932,0.29454447729105077,3,5
heartburn,Symptom,19,0.017335766423357664,0.0018284359250845786,0.28736234923964343,3,5
bursitis,Disease,12,0.010948905109489052,0.0014869490071247747,0.2669264490988797,7,0
esophageal cancer,Disease,5,0.004562043795620438,0.0005856476446499722,0.2898704046548532,3,5
pulmonary congestion,Disease,9,0.008211678832116789,0.001961252695822617,0.29839368363735363,1,4
juvenile rheumatoid arthritis,Disease,5,0.004562043795620438,0.0006963881596808526,0.2662779397473275,7,0
actinic keratosis,Disease,11,0.010036496350364963,0.0007279660349636935,0.2720277984611566,8,6
skin irritation,Symptom,12,0.010948905109489052,0.0005539470019695731,0.2589180250413418,8,6
acute otitis media,Disease,10,0.009124087591240875,0.000939942842366011,0.2735213376590966,2,2
astigmatism,Disease,8,0.0072992700729927005,0.0005835925817859757,0.24937428896473265,6,7
tuberous sclerosis,Disease,3,0.002737226277372263,0.00021301277733267162,0.25959261013737567,0,3
empyema,Disease,4,0.0036496350364963502,0.0010885861811047244,0.29557713052858686,1,4
presbyacusis,Disease,5,0.004562043795620438,0.0010971757278508212,0.272636815920398,2,2
neonatal jaundice,Disease,5,0.004562043795620438,0.0008020086574127808,0.2516647531572905,3,5
changes in stool appearance,Symptom,7,0.006386861313868613,0.000341998002117595,0.2523601197329035,3,5
chronic obstructive pulmonary disease (copd),Disease,11,0.010036496350364963,0.0021413845574961912,0.2908704883227176,2,2
dislocation of the elbow,Disease,7,0.006386861313868613,0.001669577097013036,0.2741370685342671,7,0
spondylosis,Disease,12,0.010948905109489052,0.001452411131677725,0.2840114019175952,7,0
herpangina,Disease,9,0.008211678832116789,0.0023547157871430264,0.3010162043394672,2,2
injury to the shoulder,Disease,9,0.008211678832116789,0.0012289931573874762,0.2688910696761531,7,0
"muscle cramps, contractures, or spasms",Symptom,3,0.002737226277372263,1.796054523607531e-05,0.24453369031682284,7,0
poisoning due to antidepressants,Disease,4,0.0036496350364963502,0.0006652704827278499,0.2678396871945259,0,3
infection of open wound,Disease,4,0.0036496350364963502,0.0014764179153544464,0.2825470482083011,7,0
deep vein thrombosis (dvt),Disease,7,0.006386861313868613,0.0011558729820139737,0.27427427427427425,7,0
leg stiffness or tightness,Symptom,6,0.005474452554744526,0.00048206320099182,0.26666666666666666,7,0
protein deficiency,Disease,5,0.004562043795620438,0.0007720487656468943,0.28593790764414295,3,5
myoclonus,Disease,4,0.0036496350364963502,0.00036156828273692273,0.2583078010841386,0,3
bone spur of the calcaneous,Disease,5,0.004562043795620438,0.00019641698645396383,0.2570356472795497,7,0
von willebrand disease,Disease,3,0.002737226277372263,0.00012946878353642852,0.23707549210469392,6,7
nosebleed,Symptom,7,0.006386861313868613,0.0004249666388829988,0.26064209274673006,2,2
open wound of the back,Disease,4,0.0036496350364963502,0.0009130635241498816,0.2682986536107711,1,4
heart block,Disease,10,0.009124087591240875,0.0014731660708303693,0.29509962304792675,1,4
colonic polyp,Disease,8,0.0072992700729927005,0.0006066795970220909,0.2706172839506173,3,5
rectal bleeding,Symptom,14,0.012773722627737226,0.0011694376477835633,0.27441161742613923,3,5
magnesium deficiency,Disease,4,0.0036496350364963502,0.00083451123413947,0.2929697941726811,1,4
female infertility of unknown cause,Disease,5,0.004562043795620438,0.0009751809054225741,0.22597938144329896,3,1
scanty menstrual flow,Symptom,1,0.0009124087591240876,0.0,0.18435660218671152,3,1
infertility,Symptom,6,0.005474452554744526,0.0005587349701225804,0.23358908780903667,3,1
pericarditis,Disease,6,0.005474452554744526,0.0006892754261653323,0.29125697581716714,1,4
attention deficit hyperactivity disorder (adhd),Disease,9,0.008211678832116789,0.000723769204302817,0.2730443447932237,0,3
antisocial behavior,Symptom,7,0.006386861313868613,0.00017704407438765118,0.2631452581032413,0,3
restlessness,Symptom,7,0.006386861313868613,0.0005372823157221497,0.2522439585730725,0,3
pulmonic valve disease,Disease,2,0.0018248175182481751,0.00031451892594637823,0.2653753026634383,5,4
tietze syndrome,Disease,8,0.0072992700729927005,0.0011917677755004838,0.30043859649122806,1,4
rib pain,Symptom,5,0.004562043795620438,0.00010125586724724385,0.2720277984611566,1,4
cranial nerve palsy,Disease,8,0.0072992700729927005,0.0016483859247831874,0.2864610559330894,6,3
injury to the arm,Disease,12,0.010948905109489052,0.0012661334106907343,0.26810176125244617,7,0
conversion disorder,Disease,4,0.0036496350364963502,0.0009087324033315059,0.2843798650752465,0,3
complex regional pain syndrome,Disease,12,0.010948905109489052,0.0029828413296281863,0.2939125770984178,7,0
otosclerosis,Disease,3,0.002737226277372263,0.0005744873754328959,0.26712161832805265,5,4
injury to the trunk,Disease,11,0.010036496350364963,0.0031411441839481785,0.3052074631021999,7,0
hypothyroidism,Disease,6,0.005474452554744526,0.002169024464969237,0.26524685382381413,7,4
hot flashes,Symptom,14,0.012773722627737226,0.0048809064612679535,0.2869109947643979,3,1
primary insomnia,Disease,7,0.006386861313868613,0.0009790037171257746,0.2731804586241276,0,3
abnormal breathing sounds,Symptom,8,0.0072992700729927005,0.00040798279150587585,0.2583078010841386,2,2
lice,Disease,5,0.004562043795620438,0.001690564356350461,0.2678396871945259,2,6
itchy scalp,Symptom,5,0.004562043795620438,0.00011295926745106348,0.2367170626349892,8,6
leg lump or mass,Symptom,2,0.0018248175182481751,4.6734138300971515e-05,0.23398804440649018,2,6
vitamin b12 deficiency,Disease,5,0.004562043795620438,0.0010288480160730244,0.2712871287128713,7,0
knee stiffness or tightness,Symptom,8,0.0072992700729927005,0.0005333511476149364,0.23769247451745826,7,0
diabetes,Disease,2,0.0018248175182481751,0.0009132420091324201,0.23473977297065754,1,4
thirst,Symptom,1,0.0009124087591240876,0.0,0.19014573213046496,1,4
vulvodynia,Disease,12,0.010948905109489052,0.0022992132029820405,0.2913343965975545,3,1
endometriosis,Disease,9,0.008211678832116789,0.0013581900971722286,0.2747555778390574,3,1
vasculitis,Disease,8,0.0072992700729927005,0.004982028813901363,0.3144906743185079,8,6
concussion,Disease,12,0.010948905109489052,0.005116722780992152,0.32,0,3
oral leukoplakia,Disease,3,0.002737226277372263,0.0003754745084528518,0.2554183174085295,0,6
tongue lesions,Symptom,6,0.005474452554744526,0.0003513400387969203,0.24768361581920903,2,2
chronic kidney disease,Disease,5,0.004562043795620438,0.00048703827304093765,0.2735213376590966,1,4
feeling cold,Symptom,4,0.0036496350364963502,0.0001482052275000531,0.24601571268237934,1,4
symptoms of the kidneys,Symptom,7,0.006386861313868613,0.0005993177467134018,0.27229813664596275,1,4
bladder disorder,Disease,9,0.008211678832116789,0.0008024368517758975,0.2768375852488002,5,1
chorioretinitis,Disease,5,0.004562043795620438,0.00012067875032290896,0.2469024555079973,6,7
priapism,Disease,4,0.0036496350364963502,0.0006902654495806351,0.25965411040037906,5,1
penis pain,Symptom,5,0.004562043795620438,0.00017903876607296715,0.25512104283054005,5,1
myositis,Disease,6,0.005474452554744526,0.001160300123734412,0.28895333509095705,7,0
mononucleosis,Disease,8,0.0072992700729927005,0.0018747063242046372,0.29912663755458513,2,2
neuralgia,Disease,10,0.009124087591240875,0.0017585177046331706,0.29758349171870757,7,0
polycystic kidney disease,Disease,8,0.0072992700729927005,0.0030945488635172264,0.294940796555436,5,1
kidney mass,Symptom,3,0.002737226277372263,5.4254782444863254e-05,0.25631431244153413,5,1
bipolar disorder,Disease,10,0.009124087591240875,0.00045955012033452953,0.2686933071831331,0,3
obsessions and compulsions,Symptom,5,0.004562043795620438,5.0303967068931393e-05,0.23473977297065754,0,3
amyloidosis,Disease,3,0.002737226277372263,0.00300191724453826,0.268167359921703,1,4
wrist weakness,Symptom,1,0.0009124087591240876,0.0,0.21150135082979546,1,4
chronic inflammatory demyelinating polyneuropathy (cidp),Disease,4,0.0036496350364963502,0.00027723696869616873,0.2729763387297634,1,4
gastroesophageal reflux disease (gerd),Disease,10,0.009124087591240875,0.0020141940097524267,0.30812482429013216,3,5
vitreous hemorrhage,Disease,6,0.005474452554744526,0.0001167913074243129,0.24835712667119872,6,7
poisoning due to antimicrobial drugs,Disease,6,0.005474452554744526,0.0013590601133104932,0.29273504273504275,8,4
open wound of the mouth,Disease,6,0.005474452554744526,0.0005335014245684385,0.2591629226767557,2,2
scleroderma,Disease,8,0.0072992700729927005,0.001186315484776004,0.27236580516898606,8,6
myasthenia gravis,Disease,7,0.006386861313868613,0.0014010177870487027,0.2853423587607394,1,4
hypoglycemia,Disease,12,0.010948905109489052,0.002922217321768972,0.3040221914008322,1,4
idiopathic absence of menstruation,Disease,9,0.008211678832116789,0.004043491810944956,0.28182051941373104,3,1
pain or soreness of breast,Symptom,9,0.008211678832116789,0.002328994102238157,0.26276672260848716,4,8
absence of menstruation,Symptom,5,0.004562043795620438,0.00019142628028454326,0.23102866779089376,3,1
dislocation of the ankle,Disease,4,0.0036496350364963502,0.0015601313753239134,0.2528258362168397,7,0
ankle swelling,Symptom,10,0.009124087591240875,0.0008935764702304862,0.24447914343073834,7,0
carbon monoxide poisoning,Disease,6,0.005474452554744526,0.0021104281806466983,0.30847171404446944,3,3
panic attack,Disease,7,0.006386861313868613,0.0008646002438494689,0.28781512605042014,1,4
plantar fasciitis,Disease,7,0.006386861313868613,0.000835966479089905,0.2631452581032413,7,0
hyperopia,Disease,6,0.005474452554744526,0.001428994811470952,0.25782168901434954,6,7
poisoning due to sedatives,Disease,6,0.005474452554744526,0.00017473542763969503,0.26634264884568654,0,3
pemphigus,Disease,3,0.002737226277372263,0.0003836318696965266,0.26499032882011603,8,6
peyronie disease,Disease,5,0.004562043795620438,0.000944404868383242,0.24790771318706176,5,1
mass in scrotum,Symptom,10,0.009124087591240875,0.0013416093633679552,0.2569753810082063,5,1
impotence,Symptom,16,0.014598540145985401,0.004822182281614096,0.288117770767613,5,1
symptoms of prostate,Symptom,6,0.005474452554744526,0.0001514191743409043,0.23093131057732827,5,1
hiatal hernia,Disease,12,0.010948905109489052,0.0028945931898888243,0.31013016411997735,3,5
extrapyramidal effect of drugs,Disease,6,0.005474452554744526,0.0015146232685595968,0.28556539864512764,0,3
meniere disease,Disease,8,0.0072992700729927005,0.0015810715279391794,0.29709948495527244,2,2
anal fissure,Disease,8,0.0072992700729927005,0.0009836317222898237,0.2737946540094929,3,5
vaginal dryness,Symptom,4,0.0036496350364963502,0.0003625065302831065,0.23610512710038775,4,8
allergy,Disease,11,0.010036496350364963,0.0024666169075444697,0.2935976426466649,8,6
chronic otitis media,Disease,10,0.009124087591240875,0.0007804940200881739,0.27324856644228374,2,2
pulling at ears,Symptom,9,0.008211678832116789,0.0004593642790967174,0.27223050173869845,2,2
fracture of the finger,Disease,5,0.004562043795620438,0.0002475570898313246,0.2530593396444239,7,0
hirschsprung disease,Disease,3,0.002737226277372263,0.0005035199636914189,0.27169062964799207,3,5
polymyalgia rheumatica,Disease,6,0.005474452554744526,0.0015429782484419167,0.2883451723230729,1,4
bladder cancer,Disease,7,0.006386861313868613,0.0012980390064828821,0.2516647531572905,5,1
excessive urination at night,Symptom,7,0.006386861313868613,0.00035068366040107076,0.24350144412352812,5,1
bladder mass,Symptom,1,0.0009124087591240876,0.0,0.20110091743119266,5,1
acute bronchospasm,Disease,11,0.010036496350364963,0.0014538027235114154,0.30010952902519167,2,2
acute glaucoma,Disease,8,0.0072992700729927005,0.00017474939133776406,0.2510882016036655,6,7
open wound of the chest,Disease,2,0.0018248175182481751,6.0027212308573696e-05,0.2708178897949098,1,4
dislocation of the patella,Disease,3,0.002737226277372263,2.5388485033087575e-05,0.23554695895121427,7,0
sciatica,Disease,10,0.009124087591240875,0.001021120345790306,0.27223050173869845,7,0
unusual color or odor to urine,Symptom,2,0.0018248175182481751,4.5705282178647355e-05,0.24469747711542755,3,5
leg weakness,Symptom,9,0.008211678832116789,0.0008874977771465934,0.26981782373215163,7,0
back cramps or spasms,Symptom,4,0.0036496350364963502,0.000183869106817755,0.2603943929674507,7,0
hypercalcemia,Disease,4,0.0036496350364963502,0.0009199217086217306,0.2770475227502528,1,4
stress incontinence,Disease,7,0.006386861313868613,0.0006896499833478031,0.26157517899761334,5,1
varicose veins,Disease,8,0.0072992700729927005,0.0025627395353686033,0.28313097390855074,7,0
benign kidney cyst,Disease,7,0.006386861313868613,0.001514920497955533,0.29048502517890273,5,1
hydrocele of the testicle,Disease,8,0.0072992700729927005,0.0006374871018087962,0.2612011439466158,5,1
pain in testicles,Symptom,12,0.010948905109489052,0.0013273675430520457,0.26849583537481625,5,1
degenerative disc disease,Disease,11,0.010036496350364963,0.0009952705323270784,0.280306905370844,7,0
hirsutism,Disease,4,0.0036496350364963502,0.0032550182782349535,0.25782168901434954,8,6
unwanted hair,Symptom,1,0.0009124087591240876,0.0,0.2050130939019828,8,6
dislocation of the foot,Disease,3,0.002737226277372263,0.0007195498367535263,0.27175799652863875,0,5
hydronephrosis,Disease,8,0.0072992700729927005,0.0010817490955091714,0.29336188436830835,3,1
diverticulosis,Disease,10,0.009124087591240875,0.0009945474347015574,0.28261990716864366,3,5
pain after an operation,Disease,11,0.010036496350364963,0.004724215760112623,0.3258026159334126,3,0
huntington disease,Disease,2,0.0018248175182481751,9.975515435174023e-05,0.25206991720331184,0,3
lymphoma,Disease,7,0.006386861313868613,0.001125382796600327,0.26289278004317584,2,2
neck mass,Symptom,13,0.011861313868613138,0.003625572450620817,0.28016359918200406,2,2
dermatitis due to sun exposure,Disease,9,0.008211678832116789,0.0019342478242687494,0.2735213376590966,8,6
anemia due to chronic kidney disease,Disease,6,0.005474452554744526,0.002136979203258928,0.27973455844818784,1,4
injury to internal organ,Disease,6,0.005474452554744526,0.0011050235605618288,0.29549743866271233,5,1
scleritis,Disease,5,0.004562043795620438,0.0010801664073416266,0.27838455676911356,6,7
pterygium,Disease,7,0.006386861313868613,0.0009623719422946226,0.2541743970315399,6,7
fungal infection of the skin,Disease,10,0.009124087591240875,0.0009826394399186766,0.2691552062868369,8,6
insulin overdose,Disease,2,0.0018248175182481751,0.00021295646442426663,0.2587346553352219,5,3
syndrome of inappropriate secretion of adh (siadh),Disease,3,0.002737226277372263,0.0007448835999351929,0.26145038167938933,1,4
foreign body in the ear,Disease,5,0.004562043795620438,0.00017609916055764434,0.2421564295183385,2,2
bleeding from ear,Symptom,4,0.0036496350364963502,0.00010870047906622241,0.22972123244602807,2,2
premenstrual tension syndrome,Disease,6,0.005474452554744526,0.0038004921134674316,0.30068587105624145,0,1
premenstrual tension or irritability,Symptom,1,0.0009124087591240876,0.0,0.23122362869198312,0,1
orbital cellulitis,Disease,7,0.006386861313868613,0.0020431081632848063,0.28002043944813493,6,7
injury to the leg,Disease,12,0.010948905109489052,0.0036282148697368106,0.26803619466862316,7,0
hepatic encephalopathy,Disease,6,0.005474452554744526,0.0014479541657553302,0.30267881800607566,1,4
bone cancer,Disease,5,0.004562043795620438,0.0008412252401603996,0.27937802702013764,7,0
syringomyelia,Disease,4,0.0036496350364963502,0.000495640400802414,0.2869861220214716,7,0
pulmonary fibrosis,Disease,7,0.006386861313868613,0.0006483169223730688,0.28994708994708995,1,4
mitral valve disease,Disease,9,0.008211678832116789,0.001586864290946785,0.2893347412882788,1,4
nightmares,Symptom,3,0.002737226277372263,0.00018670614260817722,0.2345388401455168,0,3
parkinson disease,Disease,9,0.008211678832116789,0.0029683826830681458,0.28563982277821215,0,3
gout,Disease,12,0.010948905109489052,0.0014117786346524615,0.2644787644787645,7,0
otitis media,Disease,11,0.010036496350364963,0.0018052126287106572,0.2872870249017038,2,2
drug abuse (opioids),Disease,10,0.009124087591240875,0.0005610062194625653,0.27135429561772717,0,3
myelodysplastic syndrome,Disease,3,0.002737226277372263,0.00029822780189654345,0.2630820931349016,1,5
fracture of the shoulder,Disease,7,0.006386861313868613,0.0006723140991391648,0.25411546487363784,7,0
shoulder swelling,Symptom,3,0.002737226277372263,0.00011954192598417774,0.23151668779045204,2,2
acute kidney injury,Disease,11,0.010036496350364963,0.0042774566148269045,0.3177732676138011,1,4
threatened pregnancy,Disease,11,0.010036496350364963,0.0020686650643927896,0.28482328482328484,3,1
uterine contractions,Symptom,10,0.009124087591240875,0.0009971544265920374,0.25335182616736013,3,1
blood clots during menstrual periods,Symptom,6,0.005474452554744526,2.869681603393699e-05,0.22785862785862787,3,1
intracranial abscess,Disease,3,0.002737226277372263,0.00022284634325328483,0.2787385554425229,0,3
gum disease,Disease,11,0.010036496350364963,0.0015507142553455007,0.27530771163024365,2,2
jaw swelling,Symptom,8,0.0072992700729927005,0.00024032155817125625,0.26492627507855937,2,2
bleeding gums,Symptom,5,0.004562043795620438,0.0003506407163184219,0.25757931844888365,2,2
pain in gums,Symptom,4,0.0036496350364963502,1.4378751750381136e-05,0.23473977297065754,2,2
gum pain,Symptom,7,0.006386861313868613,0.0004052799001291231,0.24388072986203826,2,2
open wound from surgical incision,Disease,3,0.002737226277372263,0.000640044871538204,0.25922421948912017,8,6
gastrointestinal hemorrhage,Disease,12,0.010948905109489052,0.002651398223702673,0.2988819198254704,3,5
seborrheic dermatitis,Disease,11,0.010036496350364963,0.003993620251755947,0.27068411953568783,8,6
dry or flaky scalp,Symptom,1,0.0009124087591240876,0.0,0.2130637636080871,8,6
drug abuse (methamphetamine),Disease,8,0.0072992700729927005,0.001107038840162981,0.2832773326440941,0,3
torticollis,Disease,8,0.0072992700729927005,0.0038689371656850896,0.28189300411522633,7,0
neck stiffness or tightness,Symptom,5,0.004562043795620438,9.148912081055837e-05,0.26002372479240804,3,0
neck cramps or spasms,Symptom,1,0.0009124087591240876,0.0,0.2199478225968292,7,0
poisoning due to antihypertensives,Disease,3,0.002737226277372263,0.0006107601749226105,0.28781512605042014,1,5
tension headache,Disease,8,0.0072992700729927005,0.001865422707268406,0.30284609008013263,3,5
alcohol intoxication,Disease,8,0.0072992700729927005,0.001772292707796859,0.3046136742634797,0,3
scurvy,Disease,2,0.0018248175182481751,0.0004894384643280137,0.26862745098039215,9,9
knee lump or mass,Symptom,16,0.014598540145985401,0.006030474850302363,0.2872870249017038,9,9
narcolepsy,Disease,7,0.006386861313868613,0.0016006629657231415,0.2988819198254704,0,3
food allergy,Disease,9,0.008211678832116789,0.003569063170164558,0.3025117306099917,8,6
labyrinthitis,Disease,10,0.009124087591240875,0.0038975841388397543,0.31013016411997735,2,2
anxiety,Disease,12,0.010948905109489052,0.004457038825257594,0.31021794508915934,0,3
impulse control disorder,Disease,8,0.0072992700729927005,0.0013231429208160766,0.2667964946445959,0,3
stenosis of the tear duct,Disease,5,0.004562043795620438,0.0010798411807913589,0.26738228836301536,6,7
abscess of nose,Disease,8,0.0072992700729927005,0.0011417451048916266,0.28608718350300183,2,2
omphalitis,Disease,3,0.002737226277372263,0.0004344604098531544,0.23982494529540482,3,5
leukemia,Disease,4,0.0036496350364963502,0.0015995344290870076,0.2695523856369897,2,2
muscle stiffness or tightness,Symptom,2,0.0018248175182481751,6.651211079368209e-05,0.23463926354099765,2,2
mouth pain,Symptom,12,0.010948905109489052,0.0011157369312335757,0.2613257033857892,2,2
bell palsy,Disease,10,0.009124087591240875,0.004062372378721982,0.29839368363735363,6,3
conjunctivitis due to allergy,Disease,12,0.010948905109489052,0.0031468464384429664,0.27753861737148644,6,7
sneezing,Symptom,3,0.002737226277372263,2.5378421661534282e-05,0.2407204041291456,2,2
drug reaction,Disease,11,0.010036496350364963,0.006433841857249369,0.32609342457601903,8,6
adrenal cancer,Disease,2,0.0018248175182481751,9.041961372548215e-05,0.26070409134157946,1,4
myopia,Disease,9,0.008211678832116789,0.0009633986981704535,0.2503998172264108,6,7
osteoarthritis,Disease,11,0.010036496350364963,0.002268800154974512,0.27600100730294636,7,0
thyroid disease,Disease,4,0.0036496350364963502,0.0002741590283892593,0.2436638506002668,2,2
pharyngitis,Disease,5,0.004562043795620438,0.0001664949047453742,0.2714887292543968,2,2
chronic rheumatic fever,Disease,7,0.006386861313868613,0.0008057781853994769,0.2824742268041237,1,4
hypocalcemia,Disease,5,0.004562043795620438,0.0008533916888912366,0.2787385554425229,1,4
macular degeneration,Disease,11,0.010036496350364963,0.0004619927173072844,0.2510306917086578,6,7
bleeding from eye,Symptom,2,0.0018248175182481751,2.242811798954454e-06,0.2188935490313561,6,7
pneumonia,Disease,12,0.010948905109489052,0.0020087303339445996,0.30393788130892957,2,2
cold sore,Disease,7,0.006386861313868613,0.00200993486576048,0.2764186633039092,8,6
lip sore,Symptom,1,0.0009124087591240876,0.0,0.216600790513834,8,6
premature ventricular contractions (pvcs),Disease,8,0.0072992700729927005,0.001377374175334899,0.2769075290550783,1,4
testicular cancer,Disease,3,0.002737226277372263,0.0010128541603651434,0.2566143760243503,5,1
hydrocephalus,Disease,7,0.006386861313868613,0.001712317665217838,0.3034330011074197,0,3
breast cancer,Disease,4,0.0036496350364963502,0.0001828981612234092,0.23423808506091046,4,8
lump or mass of breast,Symptom,6,0.005474452554744526,0.0008967566587546746,0.23574962357496235,4,8
bleeding or discharge from nipple,Symptom,5,0.004562043795620438,0.0006432197481764852,0.23635971533318956,4,8
anemia due to malignancy,Disease,4,0.0036496350364963502,0.0006043006171802744,0.2712871287128713,1,4
esophageal varices,Disease,2,0.0018248175182481751,5.260043387141494e-05,0.2688910696761531,1,5
endometrial cancer,Disease,5,0.004562043795620438,0.0005986491005660766,0.24801991400769405,3,1
vaginal bleeding after menopause,Symptom,3,0.002737226277372263,5.9269231684826195e-05,0.20940007642338557,3,1
cystic fibrosis,Disease,4,0.0036496350364963502,0.000705569373181957,0.27277252364360377,3,2
intertrigo (skin condition),Disease,6,0.005474452554744526,0.00019926601420892305,0.2662779397473275,8,6
parathyroid adenoma,Disease,4,0.0036496350364963502,0.0008366795741453269,0.26505441354292625,0,3
glucocorticoid deficiency,Disease,3,0.002737226277372263,0.00036964402713731033,0.271421495789995,1,5
temporomandibular joint disorder,Disease,8,0.0072992700729927005,0.0023388900545706437,0.29234462523339555,2,2
wilson disease,Disease,3,0.002737226277372263,0.0003805612410524069,0.2700837851158206,0,3
vesicoureteral reflux,Disease,4,0.0036496350364963502,0.0008019045808430685,0.2707509881422925,5,1
vitamin a deficiency,Disease,2,0.0018248175182481751,0.0001334380197801563,0.24035087719298245,9,9
gonorrhea,Disease,6,0.005474452554744526,0.0015658728332693034,0.279805973959663,3,1
penile discharge,Symptom,2,0.0018248175182481751,8.849287246324182e-06,0.22394769105026563,3,1
fracture of the rib,Disease,11,0.010036496350364963,0.003453660120780214,0.2936763129689175,7,0
hurts to breath,Symptom,6,0.005474452554744526,0.00012053465616701602,0.27250124316260566,1,4
ependymoma,Disease,4,0.0036496350364963502,0.0017005994779075806,0.27987742594484166,6,7
hepatitis due to a toxin,Disease,8,0.0072992700729927005,0.0029934649819175277,0.3052074631021999,3,5
vaginal cyst,Disease,12,0.010948905109489052,0.0011508297738232187,0.2742056542406805,3,1
open wound of the shoulder,Disease,3,0.002737226277372263,0.0002565220936926036,0.25788235294117645,7,0
ectopic pregnancy,Disease,8,0.0072992700729927005,0.001828179156127603,0.29312650441294463,3,1
chronic knee pain,Disease,9,0.008211678832116789,0.001413212470676615,0.2719602977667494,7,0
pinguecula,Disease,4,0.0036496350364963502,0.0034513816419777434,0.2731804586241276,6,7
itching of scrotum,Symptom,1,0.0009124087591240876,0.0,0.21460740160563932,6,7
hypergammaglobulinemia,Disease,2,0.0018248175182481751,8.698181724477848e-05,0.25393883225208524,1,5
alcohol abuse,Disease,9,0.008211678832116789,0.0006720491637538686,0.27068411953568783,0,3
carpal tunnel syndrome,Disease,11,0.010036496350364963,0.0012042986286312325,0.26518267602225987,7,0
arm weakness,Symptom,3,0.002737226277372263,1.4467865858207545e-05,0.2395104895104895,7,0
pituitary disorder,Disease,4,0.0036496350364963502,0.0014751479792803647,0.2807377049180328,0,3
kidney stone,Disease,11,0.010036496350364963,0.0021478405307459435,0.29621621621621624,5,1
autism,Disease,9,0.008211678832116789,0.0024818664213823657,0.27434292866082605,0,3
cat scratch disease,Disease,3,0.002737226277372263,0.0003908684735530587,0.25464684014869887,8,6
chronic glaucoma,Disease,10,0.009124087591240875,0.0004358883695492986,0.24982904034647824,6,7
retinal detachment,Disease,8,0.0072992700729927005,0.00018575961502935546,0.2506861848124428,6,7
aplastic anemia,Disease,6,0.005474452554744526,0.0012228400047327318,0.29179978700745474,1,4
overflow incontinence,Disease,7,0.006386861313868613,0.0014230743612965926,0.2618251313903488,5,1
hemolytic anemia,Disease,4,0.0036496350364963502,0.0017858037451517468,0.29685807150595883,8,6
lateral epicondylitis (tennis elbow),Disease,8,0.0072992700729927005,0.0004985824104780117,0.26289278004317584,7,0
open wound of the eye,Disease,5,0.004562043795620438,0.00013222503821076542,0.2473482283908824,6,7
syphilis,Disease,4,0.0036496350364963502,0.0010791827772409087,0.28261990716864366,3,6
diabetic kidney disease,Disease,2,0.0018248175182481751,5.7132128646668243e-05,0.23764093668690373,5,5
nose disorder,Disease,12,0.010948905109489052,0.0022995564915890866,0.29621621621621624,2,2
drug withdrawal,Disease,7,0.006386861313868613,0.0020966703927593456,0.30847171404446944,3,5
dental caries,Disease,12,0.010948905109489052,0.0034327918457060587,0.27782002534854244,2,2
hypercholesterolemia,Disease,5,0.004562043795620438,0.001291786045470694,0.27135429561772717,1,4
fracture of the patella,Disease,6,0.005474452554744526,0.0003122313151998947,0.25990040313018736,7,0
kidney failure,Disease,8,0.0072992700729927005,0.0025142302150474314,0.2915669060920458,1,5
fracture of the neck,Disease,5,0.004562043795620438,0.00014135384871815623,0.26082817705854355,7,0
muscle spasm,Disease,10,0.009124087591240875,0.004070446294072106,0.30855855855855857,7,0
hemophilia,Disease,4,0.0036496350364963502,0.0010572321066356287,0.2770475227502528,2,2
hyperosmotic hyperketotic state,Disease,3,0.002737226277372263,0.0005181761203737959,0.27530771163024365,5,4
peritonsillar abscess,Disease,7,0.006386861313868613,0.001031035392229811,0.28283870967741936,2,2
gastroparesis,Disease,8,0.0072992700729927005,0.0005947938339174796,0.2915669060920458,3,5
itching of unknown cause,Disease,9,0.008211678832116789,0.0015062207175164538,0.27372627372627373,8,6
polycythemia vera,Disease,5,0.004562043795620438,0.0025900371309679265,0.29605618584548893,1,4
thrombocytopenia,Disease,7,0.006386861313868613,0.001971444633007566,0.28857293312269616,1,4
head and neck cancer,Disease,8,0.0072992700729927005,0.000543572323577162,0.2607661194384963,2,2
